epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.27839,1.71119,3.86767,1.69512,0.01805,0.26337,0.03479,0.01678,1.81802,4.05665,1.89524,0,0,0
2,2.07723,1.65907,3.8167,1.7089,0.01729,0.26632,0.0378,0.01812,1.79537,4.05854,1.87601,1.10963e-05,1.10963e-05,1.10963e-05
3,2.93856,2.12464,3.99394,1.93877,0.01718,0.27203,0.04755,0.02086,1.75329,4.05603,1.83924,2.2165e-05,2.2165e-05,2.2165e-05
4,3.75609,1.95158,3.90782,1.91757,0.01734,0.29703,0.05467,0.02645,1.6756,4.05124,1.78227,3.32063e-05,3.32063e-05,3.32063e-05
5,4.5437,1.72896,3.79395,1.83577,0.01851,0.32005,0.07896,0.03769,1.59629,4.04635,1.71804,4.422e-05,4.422e-05,4.422e-05
6,5.30372,1.56647,3.84476,1.68455,0.01785,0.32847,0.07969,0.04149,1.53936,4.0248,1.65542,5.52063e-05,5.52063e-05,5.52063e-05
7,6.21655,1.657,3.84063,1.78394,0.01768,0.33403,0.08096,0.04818,1.47681,4.00691,1.58638,6.6165e-05,6.6165e-05,6.6165e-05
8,7.00409,1.52684,3.83211,1.53349,0.01791,0.35087,0.11633,0.07647,1.42515,3.99081,1.52651,7.70963e-05,7.70963e-05,7.70963e-05
9,7.77803,1.56482,3.78181,1.57701,0.01754,0.36245,0.14162,0.0905,1.3788,3.96983,1.46716,8.80001e-05,8.80001e-05,8.80001e-05
10,8.55891,1.60395,3.76692,1.65106,0.01686,0.36245,0.16841,0.10407,1.28009,3.92925,1.36357,9.88764e-05,9.88764e-05,9.88764e-05
11,9.3179,1.33372,3.65565,1.46428,0.01802,0.38255,0.17242,0.10671,1.26673,3.89173,1.316,0.000109725,0.000109725,0.000109725
12,10.0761,1.18998,3.50611,1.343,0.01803,0.38826,0.18741,0.12066,1.21311,3.8742,1.25867,0.000120546,0.000120546,0.000120546
13,10.8329,1.27369,3.58942,1.31169,0.01819,0.39692,0.19728,0.13526,1.15697,3.83855,1.19995,0.00013134,0.00013134,0.00013134
14,11.6113,1.20687,3.29575,1.31522,0.01801,0.40549,0.20232,0.14252,1.12395,3.80553,1.16417,0.000142106,0.000142106,0.000142106
15,12.3851,1.331,3.38147,1.36907,0.01806,0.41645,0.20593,0.15116,1.09615,3.77418,1.13268,0.000152845,0.000152845,0.000152845
16,13.15,1.23665,3.11525,1.29569,0.01686,0.40248,0.20403,0.14978,1.08836,3.73948,1.1072,0.000163557,0.000163557,0.000163557
17,13.8863,1.34908,3.16435,1.31696,0.01699,0.40804,0.2108,0.15243,1.08415,3.71175,1.09744,0.00017424,0.00017424,0.00017424
18,14.6317,1.45598,3.3629,1.24027,0.01699,0.40804,0.2108,0.15243,1.08415,3.71175,1.09744,0.000184897,0.000184897,0.000184897
19,15.4025,1.30438,3.13769,1.26204,0.01711,0.41383,0.20905,0.1437,1.07849,3.65919,1.0886,0.000195525,0.000195525,0.000195525
20,16.1533,1.16579,2.96118,1.19667,0.01711,0.41383,0.20905,0.1437,1.07849,3.65919,1.0886,0.000206127,0.000206127,0.000206127
21,16.9345,1.28311,2.99364,1.25014,0.01633,0.40804,0.20631,0.14946,1.05373,3.59808,1.07393,0.000216701,0.000216701,0.000216701
22,17.6992,1.28599,2.68698,1.26003,0.01633,0.40804,0.20631,0.14946,1.05373,3.59808,1.07393,0.000227247,0.000227247,0.000227247
23,18.4719,1.15986,2.6553,1.18257,0.01799,0.43089,0.20982,0.153,1.10841,3.54162,1.10699,0.000237766,0.000237766,0.000237766
24,19.2298,1.26852,2.50797,1.20627,0.01799,0.43089,0.20982,0.153,1.10841,3.54162,1.10699,0.000248257,0.000248257,0.000248257
25,20.0011,1.14832,2.51394,1.11461,0.02295,0.51147,0.23452,0.17521,1.16081,3.44477,1.1467,0.000258721,0.000258721,0.000258721
26,20.7733,1.3897,2.49847,1.21074,0.02295,0.51147,0.23452,0.17521,1.16081,3.44477,1.1467,0.000269157,0.000269157,0.000269157
27,21.554,1.22577,2.42812,1.1325,0.02933,0.60067,0.28688,0.20683,1.20644,3.3297,1.17274,0.000279566,0.000279566,0.000279566
28,22.3015,1.2005,2.3714,1.13042,0.02933,0.60067,0.28688,0.20683,1.20644,3.3297,1.17274,0.000289947,0.000289947,0.000289947
29,23.0528,1.0956,2.06677,1.18209,0.03537,0.66067,0.35779,0.24725,1.18166,3.17381,1.14035,0.000300301,0.000300301,0.000300301
30,23.8152,1.15669,2.10219,1.11176,0.03537,0.66067,0.35779,0.24725,1.18166,3.17381,1.14035,0.000310627,0.000310627,0.000310627
31,24.5978,1.23114,2.23003,1.15654,0.77891,0.12446,0.35387,0.23633,1.15097,3.01192,1.09809,0.000320926,0.000320926,0.000320926
32,25.3454,1.05059,1.95401,1.10156,0.77891,0.12446,0.35387,0.23633,1.15097,3.01192,1.09809,0.000331198,0.000331198,0.000331198
33,26.094,1.11089,1.94495,1.16835,0.80323,0.13204,0.43204,0.28872,1.10851,2.8922,1.06435,0.000341441,0.000341441,0.000341441
34,26.8642,1.06831,1.86648,1.13168,0.80323,0.13204,0.43204,0.28872,1.10851,2.8922,1.06435,0.000351658,0.000351658,0.000351658
35,27.6477,1.24494,1.93319,1.24585,0.82844,0.14071,0.46602,0.3289,1.10841,2.85026,1.06518,0.000361847,0.000361847,0.000361847
36,28.4035,1.13911,1.99019,1.10992,0.82844,0.14071,0.46602,0.3289,1.10841,2.85026,1.06518,0.000372008,0.000372008,0.000372008
37,29.1662,1.07216,1.7577,1.08712,0.86156,0.19513,0.4989,0.3555,1.10027,2.82801,1.06932,0.000382142,0.000382142,0.000382142
38,29.9185,1.09757,1.79035,1.09419,0.86156,0.19513,0.4989,0.3555,1.10027,2.82801,1.06932,0.000392248,0.000392248,0.000392248
39,30.7032,1.12918,1.81867,1.14753,0.92677,0.21189,0.59806,0.42586,1.04158,2.76155,1.04787,0.000402327,0.000402327,0.000402327
40,31.4633,1.01536,1.64051,1.08438,0.92677,0.21189,0.59806,0.42586,1.04158,2.76155,1.04787,0.000412378,0.000412378,0.000412378
41,32.2373,1.17972,1.78386,1.10514,0.98058,0.15951,0.64845,0.47432,0.99703,2.70735,1.0257,0.000422402,0.000422402,0.000422402
42,33.0048,0.96472,1.62397,1.0835,0.98058,0.15951,0.64845,0.47432,0.99703,2.70735,1.0257,0.000432399,0.000432399,0.000432399
43,33.7831,1.04984,1.75135,1.00623,0.83517,0.33007,0.6592,0.46546,1.0002,2.68019,1.02716,0.000442367,0.000442367,0.000442367
44,34.5227,1.2695,1.72344,1.26831,0.83517,0.33007,0.6592,0.46546,1.0002,2.68019,1.02716,0.000452309,0.000452309,0.000452309
45,35.2879,1.08931,1.6528,1.0703,0.93455,0.21069,0.67752,0.46745,1.02141,2.65606,1.03511,0.000462223,0.000462223,0.000462223
46,36.0441,1.08007,1.60205,1.10284,0.93455,0.21069,0.67752,0.46745,1.02141,2.65606,1.03511,0.000472109,0.000472109,0.000472109
47,36.8459,1.03327,1.60187,1.04017,0.94591,0.23367,0.7106,0.48202,1.02754,2.64517,1.0484,0.000481968,0.000481968,0.000481968
