epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,37.6351,1.14713,1.48945,1.09777,0.94591,0.23367,0.7106,0.48202,1.02754,2.64517,1.0484,0.000491799,0.000491799,0.000491799
49,38.4081,0.88295,1.4045,1.04447,0.91157,0.3191,0.68092,0.48235,1.05394,2.58814,1.07675,0.000501603,0.000501603,0.000501603
50,39.1857,1.03612,1.52715,1.10123,0.91157,0.3191,0.68092,0.48235,1.05394,2.58814,1.07675,0.00051138,0.00051138,0.00051138
51,39.9531,1.12079,1.59633,1.10329,0.84792,0.43011,0.67453,0.48166,1.10185,2.44373,1.09541,0.000521128,0.000521128,0.000521128
52,40.7037,1.05892,1.42222,1.08184,0.84792,0.43011,0.67453,0.48166,1.10185,2.44373,1.09541,0.00053085,0.00053085,0.00053085
53,41.4482,1.0685,1.42536,1.08531,0.84792,0.43011,0.67453,0.48166,1.10185,2.44373,1.09541,0.000540544,0.000540544,0.000540544
54,42.2088,1.00932,1.40097,1.05984,0.83056,0.46215,0.68116,0.49755,1.07723,2.28819,1.08245,0.00055021,0.00055021,0.00055021
55,42.9749,1.07265,1.37153,1.04216,0.83056,0.46215,0.68116,0.49755,1.07723,2.28819,1.08245,0.000559849,0.000559849,0.000559849
56,43.7286,0.98176,1.34276,1.06597,0.83056,0.46215,0.68116,0.49755,1.07723,2.28819,1.08245,0.00056946,0.00056946,0.00056946
57,44.4895,0.9726,1.34456,1.04736,0.84678,0.49094,0.7468,0.53339,1.04474,2.19948,1.05394,0.000579044,0.000579044,0.000579044
58,45.249,1.03382,1.22185,1.09345,0.84678,0.49094,0.7468,0.53339,1.04474,2.19948,1.05394,0.000588601,0.000588601,0.000588601
59,46.0188,1.11859,1.34445,1.10532,0.84678,0.49094,0.7468,0.53339,1.04474,2.19948,1.05394,0.00059813,0.00059813,0.00059813
60,46.802,1.04822,1.24693,0.99491,0.90426,0.52883,0.78255,0.56441,1.01083,2.13338,1.04665,0.000607631,0.000607631,0.000607631
61,47.6168,1.09003,1.3427,1.06735,0.90426,0.52883,0.78255,0.56441,1.01083,2.13338,1.04665,0.000617105,0.000617105,0.000617105
62,48.3701,0.9626,1.17697,1.05816,0.90426,0.52883,0.78255,0.56441,1.01083,2.13338,1.04665,0.000626551,0.000626551,0.000626551
63,49.1779,1.10015,1.35198,1.03747,0.8444,0.56801,0.76067,0.5576,1.03875,2.08093,1.06218,0.00063597,0.00063597,0.00063597
64,49.9246,1.00172,1.19086,1.05724,0.8444,0.56801,0.76067,0.5576,1.03875,2.08093,1.06218,0.000645362,0.000645362,0.000645362
65,50.665,1.02529,1.34947,1.02482,0.8444,0.56801,0.76067,0.5576,1.03875,2.08093,1.06218,0.000654726,0.000654726,0.000654726
66,51.5418,1.01378,1.30737,1.04732,0.77143,0.63306,0.76695,0.56472,1.02908,1.88273,1.06004,0.000664062,0.000664062,0.000664062
67,52.316,0.95021,1.30199,1.03772,0.77143,0.63306,0.76695,0.56472,1.02908,1.88273,1.06004,0.000673371,0.000673371,0.000673371
68,53.0941,0.95019,1.16798,1.05962,0.77143,0.63306,0.76695,0.56472,1.02908,1.88273,1.06004,0.000682652,0.000682652,0.000682652
69,53.8593,1.00198,1.18365,1.03673,0.78552,0.61331,0.79101,0.57564,0.9901,1.70934,1.05389,0.000691906,0.000691906,0.000691906
70,54.6078,0.88136,1.10134,0.96306,0.78552,0.61331,0.79101,0.57564,0.9901,1.70934,1.05389,0.000701133,0.000701133,0.000701133
71,55.3795,0.99514,1.18612,1.10178,0.78552,0.61331,0.79101,0.57564,0.9901,1.70934,1.05389,0.000710332,0.000710332,0.000710332
72,56.1695,0.7496,1.12111,1.00774,0.77995,0.6658,0.816,0.60029,0.98868,1.62169,1.05776,0.000719503,0.000719503,0.000719503
73,57.105,0.99587,1.12193,1.02166,0.77995,0.6658,0.816,0.60029,0.98868,1.62169,1.05776,0.000728647,0.000728647,0.000728647
74,57.9071,0.95777,1.11328,1.02436,0.77995,0.6658,0.816,0.60029,0.98868,1.62169,1.05776,0.000737764,0.000737764,0.000737764
75,58.6997,0.86453,1.12591,1.03006,0.77314,0.73009,0.84852,0.60619,0.94111,1.52917,1.03196,0.000746853,0.000746853,0.000746853
76,59.4503,0.9408,1.07325,1.04455,0.77314,0.73009,0.84852,0.60619,0.94111,1.52917,1.03196,0.000755914,0.000755914,0.000755914
77,60.2061,0.87496,1.03612,0.99832,0.77314,0.73009,0.84852,0.60619,0.94111,1.52917,1.03196,0.000764948,0.000764948,0.000764948
78,60.9934,0.96416,1.0726,1.01149,0.79813,0.77407,0.87984,0.65456,0.89445,1.40453,0.99704,0.000773954,0.000773954,0.000773954
79,61.7617,0.75647,1.05576,1.00349,0.79813,0.77407,0.87984,0.65456,0.89445,1.40453,0.99704,0.000782933,0.000782933,0.000782933
80,62.5208,0.8197,1.05375,0.98223,0.79813,0.77407,0.87984,0.65456,0.89445,1.40453,0.99704,0.000791885,0.000791885,0.000791885
81,63.29,0.82443,1.08695,1.04054,0.80392,0.80481,0.87519,0.67752,0.89886,1.38303,0.99624,0.000800809,0.000800809,0.000800809
82,64.062,0.86725,0.9663,1.00143,0.80392,0.80481,0.87519,0.67752,0.89886,1.38303,0.99624,0.000809705,0.000809705,0.000809705
83,64.8633,1.0309,1.09998,0.99805,0.80392,0.80481,0.87519,0.67752,0.89886,1.38303,0.99624,0.000818574,0.000818574,0.000818574
84,65.6562,0.92547,1.08749,1.05549,0.79232,0.79099,0.8593,0.67177,0.88568,1.38744,0.99098,0.000827416,0.000827416,0.000827416
85,66.4252,0.92731,1.07845,1.0231,0.79232,0.79099,0.8593,0.67177,0.88568,1.38744,0.99098,0.00083623,0.00083623,0.00083623
86,67.1919,0.85948,0.98763,0.99402,0.79232,0.79099,0.8593,0.67177,0.88568,1.38744,0.99098,0.000845016,0.000845016,0.000845016
87,67.9482,0.85132,0.99585,1.00209,0.79232,0.79099,0.8593,0.67177,0.88568,1.38744,0.99098,0.000853775,0.000853775,0.000853775
88,68.735,1.05226,1.10222,0.9975,0.74985,0.76749,0.86321,0.66809,0.8946,1.4148,0.98867,0.000862507,0.000862507,0.000862507
89,69.4802,0.92129,0.98978,0.99009,0.74985,0.76749,0.86321,0.66809,0.8946,1.4148,0.98867,0.000871211,0.000871211,0.000871211
90,70.236,0.91729,1.08332,0.99274,0.74985,0.76749,0.86321,0.66809,0.8946,1.4148,0.98867,0.000879887,0.000879887,0.000879887
91,70.9647,0.69783,0.96044,0.98398,0.74985,0.76749,0.86321,0.66809,0.8946,1.4148,0.98867,0.000888536,0.000888536,0.000888536
92,71.7253,0.92813,0.99873,1.05685,0.74039,0.78765,0.85771,0.66317,0.85954,1.44097,0.96803,0.000897158,0.000897158,0.000897158
93,72.4855,0.78796,0.98783,0.95582,0.74039,0.78765,0.85771,0.66317,0.85954,1.44097,0.96803,0.000905752,0.000905752,0.000905752
94,73.22,0.93682,1.03744,1.00419,0.74039,0.78765,0.85771,0.66317,0.85954,1.44097,0.96803,0.000914318,0.000914318,0.000914318
95,73.9578,0.87178,0.97499,0.9868,0.74039,0.78765,0.85771,0.66317,0.85954,1.44097,0.96803,0.000922857,0.000922857,0.000922857
96,74.7129,0.74748,0.9302,1.00912,0.78089,0.77144,0.87165,0.67715,0.85966,1.34698,0.97957,0.000931369,0.000931369,0.000931369
97,75.4519,0.97632,1.00555,1.01987,0.78089,0.77144,0.87165,0.67715,0.85966,1.34698,0.97957,0.000939853,0.000939853,0.000939853
98,76.2064,0.86961,1.03602,1.02037,0.78089,0.77144,0.87165,0.67715,0.85966,1.34698,0.97957,0.000948309,0.000948309,0.000948309
99,76.9554,0.80576,0.93896,0.9786,0.78089,0.77144,0.87165,0.67715,0.85966,1.34698,0.97957,0.000956738,0.000956738,0.000956738
100,77.7191,0.93364,1.01636,1.00064,0.76412,0.82407,0.89527,0.69899,0.80664,1.19658,0.96797,0.00096514,0.00096514,0.00096514
101,78.4762,0.81425,0.98512,0.99527,0.76412,0.82407,0.89527,0.69899,0.80664,1.19658,0.96797,0.000973514,0.000973514,0.000973514
102,79.2447,0.72525,0.98146,0.99016,0.76412,0.82407,0.89527,0.69899,0.80664,1.19658,0.96797,0.000972139,0.000972139,0.000972139
103,80.0096,0.87863,0.92566,0.9845,0.76412,0.82407,0.89527,0.69899,0.80664,1.19658,0.96797,0.000970764,0.000970764,0.000970764
104,80.7953,0.79555,0.92752,1.00554,0.79045,0.84265,0.9105,0.71233,0.80889,1.14343,0.96882,0.000969389,0.000969389,0.000969389
105,81.5591,0.76026,0.97411,0.9823,0.79045,0.84265,0.9105,0.71233,0.80889,1.14343,0.96882,0.000968014,0.000968014,0.000968014
106,82.3329,0.85216,0.92485,1.01004,0.79045,0.84265,0.9105,0.71233,0.80889,1.14343,0.96882,0.000966639,0.000966639,0.000966639
107,83.1113,0.84305,1.01505,0.95995,0.79045,0.84265,0.9105,0.71233,0.80889,1.14343,0.96882,0.000965265,0.000965265,0.000965265
108,83.9018,0.91536,1.01705,1.0403,0.79865,0.83471,0.92306,0.71907,0.79828,1.11791,0.95833,0.00096389,0.00096389,0.00096389
109,84.6712,0.78896,0.88026,0.97092,0.79865,0.83471,0.92306,0.71907,0.79828,1.11791,0.95833,0.000962515,0.000962515,0.000962515
110,85.4367,0.89112,1.04187,1.02965,0.79865,0.83471,0.92306,0.71907,0.79828,1.11791,0.95833,0.00096114,0.00096114,0.00096114
111,86.1899,0.95365,0.97026,0.99565,0.79865,0.83471,0.92306,0.71907,0.79828,1.11791,0.95833,0.000959765,0.000959765,0.000959765
112,86.9674,0.82038,0.9117,1.02886,0.812,0.86821,0.92811,0.72555,0.7813,1.08472,0.94819,0.00095839,0.00095839,0.00095839
113,87.7343,0.70939,0.90643,1.00234,0.812,0.86821,0.92811,0.72555,0.7813,1.08472,0.94819,0.000957015,0.000957015,0.000957015
114,88.494,0.72361,0.90988,0.99239,0.812,0.86821,0.92811,0.72555,0.7813,1.08472,0.94819,0.000955641,0.000955641,0.000955641
115,89.255,0.8155,0.91167,1.02935,0.812,0.86821,0.92811,0.72555,0.7813,1.08472,0.94819,0.000954266,0.000954266,0.000954266
116,90.0293,0.84145,0.92517,1.01025,0.85859,0.83083,0.91712,0.71056,0.82482,1.09908,0.95987,0.000952891,0.000952891,0.000952891
117,90.7763,0.87635,0.95191,0.98705,0.85859,0.83083,0.91712,0.71056,0.82482,1.09908,0.95987,0.000951516,0.000951516,0.000951516
118,91.5335,0.84675,0.90835,0.99898,0.85859,0.83083,0.91712,0.71056,0.82482,1.09908,0.95987,0.000950141,0.000950141,0.000950141
119,92.2886,0.82638,0.92968,0.97981,0.85859,0.83083,0.91712,0.71056,0.82482,1.09908,0.95987,0.000948766,0.000948766,0.000948766
120,93.0438,0.75917,0.86509,0.97628,0.82122,0.85084,0.91337,0.71842,0.82026,1.01775,0.96561,0.000947391,0.000947391,0.000947391
121,93.7807,0.82502,0.87765,0.97518,0.82122,0.85084,0.91337,0.71842,0.82026,1.01775,0.96561,0.000946016,0.000946016,0.000946016
122,94.5349,0.78125,0.78596,0.93739,0.82122,0.85084,0.91337,0.71842,0.82026,1.01775,0.96561,0.000944642,0.000944642,0.000944642
123,95.2831,0.82821,0.93731,1.03069,0.82122,0.85084,0.91337,0.71842,0.82026,1.01775,0.96561,0.000943267,0.000943267,0.000943267
124,96.0736,0.85478,0.93606,0.9852,0.82508,0.87147,0.92715,0.73194,0.79827,0.92751,0.96828,0.000941892,0.000941892,0.000941892
125,96.8268,0.738,0.83174,1.02544,0.82508,0.87147,0.92715,0.73194,0.79827,0.92751,0.96828,0.000940517,0.000940517,0.000940517
126,97.5941,0.79071,0.86699,1.00167,0.82508,0.87147,0.92715,0.73194,0.79827,0.92751,0.96828,0.000939142,0.000939142,0.000939142
127,98.3761,0.76674,0.86197,0.94447,0.82508,0.87147,0.92715,0.73194,0.79827,0.92751,0.96828,0.000937767,0.000937767,0.000937767
128,99.1574,0.85502,0.89997,1.03072,0.82618,0.91719,0.93908,0.74296,0.75116,0.88565,0.94532,0.000936392,0.000936392,0.000936392
129,99.9139,0.72931,0.84126,0.93661,0.82618,0.91719,0.93908,0.74296,0.75116,0.88565,0.94532,0.000935018,0.000935018,0.000935018
130,100.72,0.86697,0.88663,0.96119,0.82618,0.91719,0.93908,0.74296,0.75116,0.88565,0.94532,0.000933643,0.000933643,0.000933643
131,101.488,0.77305,0.928,0.9663,0.82618,0.91719,0.93908,0.74296,0.75116,0.88565,0.94532,0.000932268,0.000932268,0.000932268
132,102.282,0.73162,0.86701,0.97915,0.85778,0.88465,0.9403,0.74964,0.74348,0.85795,0.93988,0.000930893,0.000930893,0.000930893
133,103.053,0.70532,0.82104,0.96739,0.85778,0.88465,0.9403,0.74964,0.74348,0.85795,0.93988,0.000929518,0.000929518,0.000929518
134,103.833,0.73158,0.81652,0.96247,0.85778,0.88465,0.9403,0.74964,0.74348,0.85795,0.93988,0.000928143,0.000928143,0.000928143
135,104.628,0.78092,0.84693,0.94803,0.85778,0.88465,0.9403,0.74964,0.74348,0.85795,0.93988,0.000926768,0.000926768,0.000926768
136,105.44,0.80447,0.84159,0.97971,0.87477,0.88184,0.94608,0.75493,0.74471,0.85905,0.94847,0.000925394,0.000925394,0.000925394
137,106.209,0.75632,0.85952,0.97362,0.87477,0.88184,0.94608,0.75493,0.74471,0.85905,0.94847,0.000924019,0.000924019,0.000924019
138,107.016,0.91836,0.89291,1.01591,0.87477,0.88184,0.94608,0.75493,0.74471,0.85905,0.94847,0.000922644,0.000922644,0.000922644
139,107.79,0.74809,0.8201,0.97567,0.87477,0.88184,0.94608,0.75493,0.74471,0.85905,0.94847,0.000921269,0.000921269,0.000921269
140,108.616,0.78603,0.8484,1.00688,0.88601,0.84126,0.94316,0.75885,0.73898,0.85276,0.94212,0.000919894,0.000919894,0.000919894
141,109.371,0.73675,0.76698,0.99806,0.88601,0.84126,0.94316,0.75885,0.73898,0.85276,0.94212,0.000918519,0.000918519,0.000918519
142,110.16,0.80314,0.85079,0.96167,0.88601,0.84126,0.94316,0.75885,0.73898,0.85276,0.94212,0.000917144,0.000917144,0.000917144
143,110.931,0.77708,0.93263,1.11666,0.88601,0.84126,0.94316,0.75885,0.73898,0.85276,0.94212,0.00091577,0.00091577,0.00091577
144,111.724,0.70803,0.7646,0.94519,0.8744,0.84812,0.94774,0.77967,0.6871,0.85043,0.91911,0.000914395,0.000914395,0.000914395
145,112.506,0.73891,0.83548,0.9469,0.8744,0.84812,0.94774,0.77967,0.6871,0.85043,0.91911,0.00091302,0.00091302,0.00091302
146,113.293,0.6879,0.7783,0.95822,0.8744,0.84812,0.94774,0.77967,0.6871,0.85043,0.91911,0.000911645,0.000911645,0.000911645
147,114.06,0.70307,0.81315,0.97824,0.8744,0.84812,0.94774,0.77967,0.6871,0.85043,0.91911,0.00091027,0.00091027,0.00091027
148,115.069,0.82684,0.84365,0.90705,0.87524,0.87822,0.95141,0.78334,0.72992,0.8492,0.9495,0.000908895,0.000908895,0.000908895
149,115.892,0.76507,0.90587,0.97155,0.87524,0.87822,0.95141,0.78334,0.72992,0.8492,0.9495,0.00090752,0.00090752,0.00090752
150,116.672,0.74451,0.81483,0.95049,0.87524,0.87822,0.95141,0.78334,0.72992,0.8492,0.9495,0.000906145,0.000906145,0.000906145
151,117.474,0.78939,0.82664,0.95814,0.87524,0.87822,0.95141,0.78334,0.72992,0.8492,0.9495,0.000904771,0.000904771,0.000904771
152,118.284,0.7803,0.82261,0.9307,0.899,0.86555,0.95707,0.77579,0.78543,0.83559,0.97047,0.000903396,0.000903396,0.000903396
153,119.04,0.83621,0.83564,1.0213,0.899,0.86555,0.95707,0.77579,0.78543,0.83559,0.97047,0.000902021,0.000902021,0.000902021
154,119.787,0.68304,0.85866,0.96291,0.899,0.86555,0.95707,0.77579,0.78543,0.83559,0.97047,0.000900646,0.000900646,0.000900646
155,120.562,0.70904,0.80492,1.0207,0.899,0.86555,0.95707,0.77579,0.78543,0.83559,0.97047,0.000899271,0.000899271,0.000899271
156,121.361,0.89281,0.85011,1.01011,0.8661,0.9136,0.95649,0.78264,0.72582,0.82955,0.92476,0.000897896,0.000897896,0.000897896
157,122.129,0.76237,0.79974,0.94157,0.8661,0.9136,0.95649,0.78264,0.72582,0.82955,0.92476,0.000896521,0.000896521,0.000896521
158,122.918,0.78761,0.85034,0.96075,0.8661,0.9136,0.95649,0.78264,0.72582,0.82955,0.92476,0.000895147,0.000895147,0.000895147
159,123.691,0.79645,0.84467,0.98696,0.8661,0.9136,0.95649,0.78264,0.72582,0.82955,0.92476,0.000893772,0.000893772,0.000893772
160,124.502,0.7327,0.81599,0.95768,0.88956,0.85771,0.95408,0.79072,0.69362,0.83147,0.91534,0.000892397,0.000892397,0.000892397
161,125.31,0.74471,0.81328,0.97737,0.88956,0.85771,0.95408,0.79072,0.69362,0.83147,0.91534,0.000891022,0.000891022,0.000891022
162,126.09,0.89773,0.87596,0.99033,0.88956,0.85771,0.95408,0.79072,0.69362,0.83147,0.91534,0.000889647,0.000889647,0.000889647
163,126.868,0.75165,0.76203,0.9483,0.88956,0.85771,0.95408,0.79072,0.69362,0.83147,0.91534,0.000888272,0.000888272,0.000888272
164,127.648,0.68678,0.80623,0.95873,0.87601,0.84391,0.95027,0.79125,0.67424,0.84843,0.9079,0.000886897,0.000886897,0.000886897
165,128.616,0.77568,0.85602,0.95169,0.87601,0.84391,0.95027,0.79125,0.67424,0.84843,0.9079,0.000885523,0.000885523,0.000885523
166,129.411,0.77109,0.83061,0.98612,0.87601,0.84391,0.95027,0.79125,0.67424,0.84843,0.9079,0.000884148,0.000884148,0.000884148
167,130.216,0.76987,0.77913,0.9385,0.87601,0.84391,0.95027,0.79125,0.67424,0.84843,0.9079,0.000882773,0.000882773,0.000882773
168,131.016,0.79862,0.84229,1.00023,0.89656,0.84211,0.95581,0.79495,0.69042,0.80083,0.92226,0.000881398,0.000881398,0.000881398
169,131.811,0.76802,0.81773,0.95645,0.89656,0.84211,0.95581,0.79495,0.69042,0.80083,0.92226,0.000880023,0.000880023,0.000880023
170,132.592,0.72622,0.76189,0.95486,0.89656,0.84211,0.95581,0.79495,0.69042,0.80083,0.92226,0.000878648,0.000878648,0.000878648
171,133.368,0.70551,0.79401,0.9609,0.89656,0.84211,0.95581,0.79495,0.69042,0.80083,0.92226,0.000877273,0.000877273,0.000877273
172,134.179,0.81275,0.80909,0.97162,0.86964,0.91083,0.96021,0.79445,0.69029,0.75356,0.92028,0.000875899,0.000875899,0.000875899
173,134.938,0.65185,0.81178,0.95504,0.86964,0.91083,0.96021,0.79445,0.69029,0.75356,0.92028,0.000874524,0.000874524,0.000874524
174,135.709,0.7664,0.77097,0.93985,0.86964,0.91083,0.96021,0.79445,0.69029,0.75356,0.92028,0.000873149,0.000873149,0.000873149
175,136.469,0.68889,0.82796,0.98975,0.86964,0.91083,0.96021,0.79445,0.69029,0.75356,0.92028,0.000871774,0.000871774,0.000871774
176,137.237,0.84598,0.81806,0.99121,0.87743,0.88595,0.96437,0.8052,0.65865,0.74124,0.90538,0.000870399,0.000870399,0.000870399
177,138.031,0.66397,0.72248,0.9387,0.87743,0.88595,0.96437,0.8052,0.65865,0.74124,0.90538,0.000869024,0.000869024,0.000869024
178,138.809,0.62133,0.75123,0.95451,0.87743,0.88595,0.96437,0.8052,0.65865,0.74124,0.90538,0.000867649,0.000867649,0.000867649
179,139.579,0.787,0.79464,0.96723,0.87743,0.88595,0.96437,0.8052,0.65865,0.74124,0.90538,0.000866274,0.000866274,0.000866274
180,140.372,0.67673,0.76954,0.96594,0.8875,0.89212,0.96529,0.80942,0.65042,0.73786,0.90163,0.0008649,0.0008649,0.0008649
181,141.145,0.75428,0.79413,0.95091,0.8875,0.89212,0.96529,0.80942,0.65042,0.73786,0.90163,0.000863525,0.000863525,0.000863525
182,141.923,0.7147,0.77906,0.97539,0.8875,0.89212,0.96529,0.80942,0.65042,0.73786,0.90163,0.00086215,0.00086215,0.00086215
183,142.698,0.66863,0.72919,0.92756,0.8875,0.89212,0.96529,0.80942,0.65042,0.73786,0.90163,0.000860775,0.000860775,0.000860775
184,143.524,0.69412,0.73334,0.93358,0.88642,0.9158,0.96264,0.807,0.65069,0.72604,0.89914,0.0008594,0.0008594,0.0008594
