epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,326.975,1.31979,2.11466,1.22934,0.63771,0.66184,0.67132,0.46807,1.05157,1.789,1.12056,0.000734984,0.000734984,0.000734984
43,334.626,0.9939,1.46488,1.09286,0.63771,0.66184,0.67132,0.46807,1.05157,1.789,1.12056,0.00074802,0.00074802,0.00074802
44,342.12,1.1138,1.56018,1.0997,0.63771,0.66184,0.67132,0.46807,1.05157,1.789,1.12056,0.000760836,0.000760836,0.000760836
45,349.785,1.23841,1.58697,1.20982,0.63771,0.66184,0.67132,0.46807,1.05157,1.789,1.12056,0.000773432,0.000773432,0.000773432
46,357.378,0.9654,1.48103,1.02514,0.63282,0.67834,0.69694,0.49148,1.01997,1.65408,1.12218,0.000785808,0.000785808,0.000785808
47,365.695,0.94322,1.39368,1.10051,0.63282,0.67834,0.69694,0.49148,1.01997,1.65408,1.12218,0.000797964,0.000797964,0.000797964
48,373.735,1.02898,1.36723,1.13626,0.63282,0.67834,0.69694,0.49148,1.01997,1.65408,1.12218,0.0008099,0.0008099,0.0008099
49,381.876,1.20825,1.42638,1.16257,0.63282,0.67834,0.69694,0.49148,1.01997,1.65408,1.12218,0.000821616,0.000821616,0.000821616
50,393.017,0.92359,1.39366,1.12436,0.5832,0.66963,0.69157,0.51242,0.91825,1.59375,1.08347,0.000833112,0.000833112,0.000833112
51,406.096,0.87656,1.37113,1.08687,0.5832,0.66963,0.69157,0.51242,0.91825,1.59375,1.08347,0.000836027,0.000836027,0.000836027
52,416.005,1.10358,1.54555,1.14446,0.5832,0.66963,0.69157,0.51242,0.91825,1.59375,1.08347,0.000830528,0.000830528,0.000830528
53,428.165,0.98213,1.50505,1.12191,0.5832,0.66963,0.69157,0.51242,0.91825,1.59375,1.08347,0.000825029,0.000825029,0.000825029
54,438.291,1.047,1.37498,1.13129,0.56501,0.68664,0.71822,0.51738,0.91041,1.61199,1.06298,0.000819529,0.000819529,0.000819529
55,446.55,0.9754,1.27122,1.06442,0.56501,0.68664,0.71822,0.51738,0.91041,1.61199,1.06298,0.00081403,0.00081403,0.00081403
56,454.972,0.87643,1.37722,1.04772,0.56501,0.68664,0.71822,0.51738,0.91041,1.61199,1.06298,0.00080853,0.00080853,0.00080853
57,462.581,1.08355,1.331,1.12784,0.56501,0.68664,0.71822,0.51738,0.91041,1.61199,1.06298,0.000803031,0.000803031,0.000803031
58,470.377,0.86597,1.29478,1.04991,0.51354,0.70735,0.70375,0.51536,0.91549,1.58111,1.05051,0.000797531,0.000797531,0.000797531
59,477.78,0.96647,1.30096,1.08593,0.51354,0.70735,0.70375,0.51536,0.91549,1.58111,1.05051,0.000792032,0.000792032,0.000792032
60,485.654,0.93933,1.4452,1.14933,0.51354,0.70735,0.70375,0.51536,0.91549,1.58111,1.05051,0.000786532,0.000786532,0.000786532
61,493.272,0.87091,1.37969,1.09971,0.51354,0.70735,0.70375,0.51536,0.91549,1.58111,1.05051,0.000781033,0.000781033,0.000781033
62,500.717,0.93506,1.25149,1.08624,0.76166,0.66121,0.80588,0.60323,0.87727,1.33705,1.02588,0.000775534,0.000775534,0.000775534
63,508.154,1.1376,1.4061,1.11546,0.76166,0.66121,0.80588,0.60323,0.87727,1.33705,1.02588,0.000770034,0.000770034,0.000770034
64,515.78,1.02799,1.39562,1.11396,0.76166,0.66121,0.80588,0.60323,0.87727,1.33705,1.02588,0.000764535,0.000764535,0.000764535
65,523.09,0.98228,1.32701,1.11372,0.76166,0.66121,0.80588,0.60323,0.87727,1.33705,1.02588,0.000759035,0.000759035,0.000759035
66,530.787,0.98938,1.29614,1.05696,0.82349,0.73907,0.87079,0.66228,0.81258,1.2014,1.00597,0.000753536,0.000753536,0.000753536
67,538.347,0.98793,1.27977,1.09386,0.82349,0.73907,0.87079,0.66228,0.81258,1.2014,1.00597,0.000748036,0.000748036,0.000748036
68,549.469,0.87626,1.17443,1.06462,0.82349,0.73907,0.87079,0.66228,0.81258,1.2014,1.00597,0.000742537,0.000742537,0.000742537
69,558.561,1.0222,1.29991,1.08914,0.82349,0.73907,0.87079,0.66228,0.81258,1.2014,1.00597,0.000737037,0.000737037,0.000737037
70,566.81,1.00306,1.28976,1.04249,0.83663,0.73754,0.89817,0.68627,0.82806,1.17426,1.01468,0.000731538,0.000731538,0.000731538
